commodity,sl_no,district,market,variety,grade,min_price,max_price,modal_price,price_date
Tomato,1,Kolar,Bangarpet,Tomato,Local,400,1000,800,07 Oct 2025
Tomato,2,Kolar,Bangarpet,Tomato,Local,450,1000,710,08 Oct 2025
Tomato,3,Kolar,Bangarpet,Tomato,Local,700,1200,900,03 Oct 2025
Tomato,4,Kolar,Bangarpet,Tomato,Local,700,1500,1000,23 Oct 2025
Tomato,5,Kolar,Bangarpet,Tomato,Local,800,1200,1000,16 Oct 2025
Tomato,6,Kolar,Bangarpet,Tomato,Local,800,1200,1000,17 Oct 2025
Tomato,7,Kolar,Bangarpet,Tomato,Local,800,1500,1000,13 Oct 2025
Tomato,8,Kolar,Bangarpet,Tomato,Local,800,1500,1200,21 Oct 2025
Tomato,9,Kolar,Bangarpet,Tomato,Local,900,1000,900,11 Oct 2025
Tomato,10,Kolar,Bangarpet,Tomato,Local,900,1000,900,20 Oct 2025
Tomato,11,Kolar,Bangarpet,Tomato,Local,900,1500,1000,09 Oct 2025
Tomato,12,Kolar,Bangarpet,Tomato,Local,1000,1300,1000,18 Oct 2025
Tomato,13,Kolar,Bangarpet,Tomato,Local,1000,1500,1200,10 Oct 2025
Tomato,14,Kolar,Bangarpet,Tomato,Local,1000,2000,1500,22 Oct 2025
Tomato,15,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1000,1400,1200,13 Oct 2025
Tomato,16,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1200,1600,1400,15 Oct 2025
Tomato,17,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1300,1500,1400,18 Oct 2025
Tomato,18,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1400,1600,1500,14 Oct 2025
Tomato,19,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1400,1600,1500,16 Oct 2025
Tomato,20,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1400,1600,1500,17 Oct 2025
Tomato,21,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1400,1600,1500,21 Oct 2025
Tomato,22,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1500,1700,1600,06 Oct 2025
Tomato,23,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1500,1700,1600,08 Oct 2025
Tomato,24,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1500,1700,1600,09 Oct 2025
Tomato,25,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1500,1700,1600,23 Oct 2025
Tomato,26,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1600,1800,1700,04 Oct 2025
Tomato,27,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Local,1700,1900,1800,03 Oct 2025
